Date of Assay,Body Sizes,Animal Number,Notes,Gravid (Y/N),Eggs Internal (Y/N),Species
3_25_26,8.074,11,,,Y,L.sicilis
3_25_26,7.581,12,,,,L.sicilis
3_25_26,8.265,13,,,Y,L.sicilis
3_25_26,8.086,14,,,,L.sicilis
3_25_26,7.983,15,,,,L.sicilis
3_25_26,8.562,16,,,,L.sicilis
3_25_26,7.418,17,,,,L.sicilis
3_25_26,8.133,19,,,Y,L.sicilis
3_25_26,7.224,20,,,,L.sicilis
3_25_26,7.432,22,,Y,,L.sicilis
3_25_26,7.633,23,,,,L.sicilis
3_23_26,8.215,1,,,,L.sicilis
3_23_26,9.094,2,,,,L.sicilis
3_23_26,9.034,3,,,,L.sicilis
3_23_26,7.784,4,,Y,,L.sicilis
3_23_26,7.238,5,,,,L.sicilis
3_23_26,7.685,6,,,,L.sicilis
3_23_26,7.376,7,,,,L.sicilis
3_23_26,7.797,8,,,,L.sicilis
3_23_26,7.88,9,,,,L.sicilis
3_23_26,7.892,10,,,,L.sicilis
3_23_26,8.729,11,,,,L.sicilis
3_23_26,8.981,12,,,,L.sicilis
3_23_26,9.486,13,,,Y,L.sicilis
3_23_26,8.313,14,,,,L.sicilis
3_23_26,7.952,15,,,Y,L.sicilis
3_23_26,9.415,16,,,Y,L.sicilis
